      RPR3											
											
Time      		MOTION_1_RealF1				MOTION_2_RealF2				MOTION_3_RealF3	
0.0000 	-44.8163 	44.8163 		0.0000 	10.4430 	10.4430 	-10.4430 		0.0000 	22.0834 	-22.0834 
0.0500 	-44.3037 	44.3037 		0.0500 	9.8499 	9.8499 	-9.8499 		0.0500 	22.0748 	-22.0748 
0.1000 	-43.7895 	43.7895 		0.1000 	9.2591 	9.2591 	-9.2591 		0.1000 	22.0668 	-22.0668 
0.1500 	-43.2734 	43.2734 		0.1500 	8.6710 	8.6710 	-8.6710 		0.1500 	22.0591 	-22.0591 
0.2000 	-42.7563 	42.7563 		0.2000 	8.0864 	8.0864 	-8.0864 		0.2000 	22.0519 	-22.0519 
0.2500 	-42.2385 	42.2385 		0.2500 	7.5061 	7.5061 	-7.5061 		0.2500 	22.0451 	-22.0451 
0.3000 	-41.7208 	41.7208 		0.3000 	6.9309 	6.9309 	-6.9309 		0.3000 	22.0387 	-22.0387 
0.3500 	-41.2037 	41.2037 		0.3500 	6.3613 	6.3613 	-6.3613 		0.3500 	22.0328 	-22.0328 
0.4000 	-40.6878 	40.6878 		0.4000 	5.7982 	5.7982 	-5.7982 		0.4000 	22.0273 	-22.0273 
0.4500 	-40.1736 	40.1736 		0.4500 	5.2421 	5.2421 	-5.2421 		0.4500 	22.0223 	-22.0223 
0.5000 	-39.6617 	39.6617 		0.5000 	4.6938 	4.6938 	-4.6938 		0.5000 	22.0177 	-22.0177 
0.5500 	-39.1528 	39.1528 		0.5500 	4.1537 	4.1537 	-4.1537 		0.5500 	22.0136 	-22.0136 
0.6000 	-38.6473 	38.6473 		0.6000 	3.6225 	3.6225 	-3.6225 		0.6000 	22.0099 	-22.0099 
0.6500 	-38.1459 	38.1459 		0.6500 	3.1008 	3.1008 	-3.1008 		0.6500 	22.0065 	-22.0065 
0.7000 	-37.6490 	37.6490 		0.7000 	2.5889 	2.5889 	-2.5889 		0.7000 	22.0036 	-22.0036 
0.7500 	-37.1573 	37.1573 		0.7500 	2.0876 	2.0876 	-2.0876 		0.7500 	22.0011 	-22.0011 
0.8000 	-36.6712 	36.6712 		0.8000 	1.5972 	1.5972 	-1.5972 		0.8000 	21.9988 	-21.9988 
0.8500 	-36.1913 	36.1913 		0.8500 	1.1181 	1.1181 	-1.1181 		0.8500 	21.9969 	-21.9969 
0.9000 	-35.7183 	35.7183 		0.9000 	0.6509 	0.6509 	-0.6509 		0.9000 	21.9953 	-21.9953 
0.9500 	-35.2524 	35.2524 		0.9500 	0.1957 	0.1957 	-0.1957 		0.9500 	21.9940 	-21.9940 
1.0000 	-34.7944 	34.7944 		1.0000 	-0.2469 	0.2469 	0.2469 		1.0000 	21.9928 	-21.9928 
1.0500 	-34.3446 	34.3446 		1.0500 	-0.6766 	0.6766 	0.6766 		1.0500 	21.9919 	-21.9919 
1.1000 	-33.9035 	33.9035 		1.1000 	-1.0932 	1.0932 	1.0932 		1.1000 	21.9911 	-21.9911 
1.1500 	-33.4717 	33.4717 		1.1500 	-1.4963 	1.4963 	1.4963 		1.1500 	21.9905 	-21.9905 
1.2000 	-33.0496 	33.0496 		1.2000 	-1.8857 	1.8857 	1.8857 		1.2000 	21.9899 	-21.9899 
1.2500 	-32.6376 	32.6376 		1.2500 	-2.2611 	2.2611 	2.2611 		1.2500 	21.9895 	-21.9895 
1.3000 	-32.2363 	32.2363 		1.3000 	-2.6223 	2.6223 	2.6223 		1.3000 	21.9890 	-21.9890 
1.3500 	-31.8459 	31.8459 		1.3500 	-2.9690 	2.9690 	2.9690 		1.3500 	21.9886 	-21.9886 
1.4000 	-31.4670 	31.4670 		1.4000 	-3.3012 	3.3012 	3.3012 		1.4000 	21.9881 	-21.9881 
1.4500 	-31.0998 	31.0998 		1.4500 	-3.6186 	3.6186 	3.6186 		1.4500 	21.9876 	-21.9876 
1.5000 	-30.7448 	30.7448 		1.5000 	-3.9211 	3.9211 	3.9211 		1.5000 	21.9870 	-21.9870 
1.5500 	-30.4023 	30.4023 		1.5500 	-4.2086 	4.2086 	4.2086 		1.5500 	21.9863 	-21.9863 
1.6000 	-30.0727 	30.0727 		1.6000 	-4.4808 	4.4808 	4.4808 		1.6000 	21.9855 	-21.9855 
1.6500 	-29.7563 	29.7563 		1.6500 	-4.7379 	4.7379 	4.7379 		1.6500 	21.9845 	-21.9845 
1.7000 	-29.4534 	29.4534 		1.7000 	-4.9794 	4.9794 	4.9794 		1.7000 	21.9834 	-21.9834 
1.7500 	-29.1642 	29.1642 		1.7500 	-5.2057 	5.2057 	5.2057 		1.7500 	21.9820 	-21.9820 
1.8000 	-28.8891 	28.8891 		1.8000 	-5.4163 	5.4163 	5.4163 		1.8000 	21.9805 	-21.9805 
1.8500 	-28.6282 	28.6282 		1.8500 	-5.6114 	5.6114 	5.6114 		1.8500 	21.9787 	-21.9787 
1.9000 	-28.3818 	28.3818 		1.9000 	-5.7909 	5.7909 	5.7909 		1.9000 	21.9767 	-21.9767 
1.9500 	-28.1502 	28.1502 		1.9500 	-5.9548 	5.9548 	5.9548 		1.9500 	21.9745 	-21.9745 
2.0000 	-27.9334 	27.9334 		2.0000 	-6.1030 	6.1030 	6.1030 		2.0000 	21.9720 	-21.9720 
2.0500 	-27.7317 	27.7317 		2.0500 	-6.2356 	6.2356 	6.2356 		2.0500 	21.9693 	-21.9693 
2.1000 	-27.5451 	27.5451 		2.1000 	-6.3526 	6.3526 	6.3526 		2.1000 	21.9663 	-21.9663 
2.1500 	-27.3739 	27.3739 		2.1500 	-6.4539 	6.4539 	6.4539 		2.1500 	21.9630 	-21.9630 
2.2000 	-27.2182 	27.2182 		2.2000 	-6.5396 	6.5396 	6.5396 		2.2000 	21.9595 	-21.9595 
2.2500 	-27.0779 	27.0779 		2.2500 	-6.6098 	6.6098 	6.6098 		2.2500 	21.9557 	-21.9557 
2.3000 	-26.9533 	26.9533 		2.3000 	-6.6645 	6.6645 	6.6645 		2.3000 	21.9516 	-21.9516 
2.3500 	-26.8443 	26.8443 		2.3500 	-6.7037 	6.7037 	6.7037 		2.3500 	21.9473 	-21.9473 
2.4000 	-26.7509 	26.7509 		2.4000 	-6.7276 	6.7276 	6.7276 		2.4000 	21.9428 	-21.9428 
2.4500 	-26.6734 	26.6734 		2.4500 	-6.7361 	6.7361 	6.7361 		2.4500 	21.9380 	-21.9380 
2.5000 	-26.6114 	26.6114 		2.5000 	-6.7295 	6.7295 	6.7295 		2.5000 	21.9330 	-21.9330 
2.5500 	-26.5651 	26.5651 		2.5500 	-6.7077 	6.7077 	6.7077 		2.5500 	21.9278 	-21.9278 
2.6000 	-26.5345 	26.5345 		2.6000 	-6.6708 	6.6708 	6.6708 		2.6000 	21.9223 	-21.9223 
2.6500 	-26.5194 	26.5194 		2.6500 	-6.6192 	6.6192 	6.6192 		2.6500 	21.9167 	-21.9167 
2.7000 	-26.5198 	26.5198 		2.7000 	-6.5527 	6.5527 	6.5527 		2.7000 	21.9109 	-21.9109 
2.7500 	-26.5357 	26.5357 		2.7500 	-6.4716 	6.4716 	6.4716 		2.7500 	21.9049 	-21.9049 
2.8000 	-26.5669 	26.5669 		2.8000 	-6.3759 	6.3759 	6.3759 		2.8000 	21.8987 	-21.8987 
2.8500 	-26.6133 	26.6133 		2.8500 	-6.2659 	6.2659 	6.2659 		2.8500 	21.8925 	-21.8925 
2.9000 	-26.6748 	26.6748 		2.9000 	-6.1417 	6.1417 	6.1417 		2.9000 	21.8861 	-21.8861 
2.9500 	-26.7512 	26.7512 		2.9500 	-6.0035 	6.0035 	6.0035 		2.9500 	21.8796 	-21.8796 
3.0000 	-26.8425 	26.8425 		3.0000 	-5.8513 	5.8513 	5.8513 		3.0000 	21.8730 	-21.8730 
3.0500 	-26.9484 	26.9484 		3.0500 	-5.6856 	5.6856 	5.6856 		3.0500 	21.8663 	-21.8663 
3.1000 	-27.0686 	27.0686 		3.1000 	-5.5063 	5.5063 	5.5063 		3.1000 	21.8596 	-21.8596 
3.1500 	-27.2033 	27.2033 		3.1500 	-5.3137 	5.3137 	5.3137 		3.1500 	21.8528 	-21.8528 
3.2000 	-27.3518 	27.3518 		3.2000 	-5.1081 	5.1081 	5.1081 		3.2000 	21.8460 	-21.8460 
3.2500 	-27.5144 	27.5144 		3.2500 	-4.8895 	4.8895 	4.8895 		3.2500 	21.8392 	-21.8392 
3.3000 	-27.6904 	27.6904 		3.3000 	-4.6583 	4.6583 	4.6583 		3.3000 	21.8324 	-21.8324 
3.3500 	-27.8800 	27.8800 		3.3500 	-4.4146 	4.4146 	4.4146 		3.3500 	21.8257 	-21.8257 
3.4000 	-28.0825 	28.0825 		3.4000 	-4.1588 	4.1588 	4.1588 		3.4000 	21.8190 	-21.8190 
3.4500 	-28.2982 	28.2982 		3.4500 	-3.8909 	3.8909 	3.8909 		3.4500 	21.8124 	-21.8124 
3.5000 	-28.5263 	28.5263 		3.5000 	-3.6114 	3.6114 	3.6114 		3.5000 	21.8058 	-21.8058 
3.5500 	-28.7669 	28.7669 		3.5500 	-3.3204 	3.3204 	3.3204 		3.5500 	21.7994 	-21.7994 
3.6000 	-29.0196 	29.0196 		3.6000 	-3.0182 	3.0182 	3.0182 		3.6000 	21.7931 	-21.7931 
3.6500 	-29.2841 	29.2841 		3.6500 	-2.7050 	2.7050 	2.7050 		3.6500 	21.7869 	-21.7869 
3.7000 	-29.5601 	29.5601 		3.7000 	-2.3811 	2.3811 	2.3811 		3.7000 	21.7809 	-21.7809 
3.7500 	-29.8473 	29.8473 		3.7500 	-2.0469 	2.0469 	2.0469 		3.7500 	21.7750 	-21.7750 
3.8000 	-30.1456 	30.1456 		3.8000 	-1.7025 	1.7025 	1.7025 		3.8000 	21.7693 	-21.7693 
